IDs,"metNames",chebi,kegg,mean,max,min,concs
YMDB02089,"PC(20:3(5Z,8Z,11Z)/16:0)",CHEBI:89127,C00157,1,1,1,1 +/- 0 uM
YMDB02090,"PC(20:3(5Z,8Z,11Z)/16:1(9Z))",CHEBI:89125,C00157,1,1,1,1 +/- 0 uM
YMDB02091,"PC(20:3(5Z,8Z,11Z)/18:0)",CHEBI:89111,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02092,"PC(20:3(5Z,8Z,11Z)/18:1(11Z))",CHEBI:89109,C00157,2,2,2,2 +/- 0 uM
YMDB02093,"PC(20:3(5Z,8Z,11Z)/18:1(9Z))",CHEBI:89115,C00157,2,2,2,2 +/- 0 uM
YMDB02094,"PC(20:3(5Z,8Z,11Z)/18:2(9Z,12Z))",CHEBI:89113,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02095,"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))",CHEBI:89107,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02096,"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))",CHEBI:89106,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02097,"PC(20:3(5Z,8Z,11Z)/20:0)",CHEBI:89108,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02098,"PC(20:3(5Z,8Z,11Z)/20:1(11Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02099,"PC(20:3(5Z,8Z,11Z)/20:2(11Z,14Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
